s_interventionID,finding_rows
1072,198
2434,140
1840,129
214,119
742,116
1757,111
2454,91
1903,91
1291,76
1572,72
1287,69
1759,69
1731,65
418,62
1121,60
1043,59
395,57
1602,55
1619,55
927,54
13,53
891,52
425,52
1509,48
1629,47
814,46
19,46
2801,46
1448,45
2800,45
1740,44
1379,43
1915,43
1166,42
1458,40
1981,40
1093,40
1042,39
1525,38
257,36
1086,35
325,33
1716,33
1402,33
1062,33
1783,33
430,32
1461,32
552,32
797,32
1341,31
274,30
1498,30
1449,30
1157,30
1807,30
1125,29
1628,29
1417,29
383,28
1909,27
1946,27
2704,27
1464,26
1801,26
1423,25
464,25
896,24
1772,24
1391,24
2592,24
1117,24
5146,24
728,23
529,23
1420,23
1194,22
1335,22
1729,22
730,22
323,22
17,21
795,21
271,21
230,21
550,21
6,21
1854,21
1910,21
2014,20
7,20
804,20
1181,20
665,20
277,20
2473,19
1150,19
1518,18
1240,18
2534,18
752,18
1061,18
1378,18
1564,17
309,17
2252,17
1499,17
321,17
1846,17
361,17
1672,16
2620,16
1077,16
1457,16
208,16
767,16
103,15
1947,15
5143,15
1871,15
1052,15
1581,15
1279,15
2703,15
2875,15
488,15
1284,15
1050,14
1646,14
290,14
210,14
1517,14
1792,14
229,14
1332,14
1624,14
570,14
465,14
1985,14
906,13
2175,13
738,13
2570,13
2667,13
616,13
1774,13
256,13
1278,13
1175,13
483,12
2158,12
2902,12
247,12
1290,12
1276,12
275,12
2212,12
1627,12
2171,12
2170,12
2169,12
1945,12
1998,12
1823,12
1853,12
1764,12
1040,12
1771,11
2440,11
1793,11
440,11
1019,11
2565,11
1835,11
1979,11
1122,11
2254,11
1162,11
1962,11
1274,11
1640,11
1747,11
1425,10
252,10
374,10
251,10
1268,10
1371,10
70,10
5085,10
4182,10
1686,10
1543,10
2702,10
1671,10
773,10
311,10
1583,10
1582,10
2192,10
2260,10
2258,10
1097,10
2571,10
1488,10
2145,10
2062,9
1864,9
3657,9
1469,9
218,9
1863,9
83,9
2066,9
99,9
1,9
803,9
764,9
750,9
1120,9
1058,9
1158,9
786,9
1502,8
1901,8
2123,8
2701,8
2486,8
1965,8
1623,8
2648,8
42,8
1600,8
1867,8
236,8
727,8
1971,8
1550,8
91,8
818,8
2054,8
1782,8
4742,8
2022,8
5076,8
1044,8
5116,8
209,8
1334,8
62,7
212,7
1912,7
2117,7
1102,7
1105,7
1487,7
1696,7
1980,7
2118,7
1983,7
1370,7
2518,7
117,7
416,7
1252,7
1253,7
2893,7
1806,7
1618,7
1277,7
1164,7
1368,7
1329,7
2607,7
743,7
1917,6
1633,6
1046,6
1894,6
1753,6
1039,6
826,6
1911,6
1632,6
1492,6
1095,6
1878,6
1841,6
58,6
1852,6
316,6
827,6
1068,6
1698,6
2149,6
2540,6
1396,6
1273,6
2826,6
2457,6
798,6
1191,6
1193,6
326,6
4235,6
1466,6
780,6
2474,5
2495,5
2527,5
1472,5
2588,5
1585,5
2449,5
726,5
973,5
1798,5
4238,5
753,5
2399,5
1035,5
187,5
801,5
216,5
2069,5
1178,5
918,5
2253,5
102,4
1776,4
1804,4
1750,4
4229,4
5104,4
1779,4
1724,4
1787,4
4242,4
312,4
5070,4
1872,4
2871,4
1934,4
40,4
2050,4
322,4
1976,4
2073,4
1966,4
2159,4
1959,4
1939,4
2201,4
2870,4
1933,4
762,4
61,4
1902,4
2612,4
2613,4
2642,4
719,4
1810,4
1182,4
380,4
1404,4
1559,4
1101,4
211,4
1673,4
1476,4
1626,4
1437,4
1092,4
1225,4
1407,4
1560,4
1137,4
204,4
245,4
1269,4
1063,4
1586,4
1360,4
324,3
1482,3
816,3
1961,3
1500,3
1960,3
1995,3
1955,3
2830,3
1936,3
1540,3
536,3
1994,3
1159,3
646,3
1152,3
1361,3
2521,3
729,3
2587,3
2431,3
2423,3
761,3
1401,3
1314,3
2633,3
652,3
2183,3
766,3
2173,3
232,3
2151,3
1129,3
2656,3
901,3
2032,3
895,3
2551,3
1267,3
1179,3
1200,3
4236,3
1822,3
4237,3
1789,3
4231,3
1055,3
1261,3
1677,3
436,3
1769,3
5120,3
4233,3
996,3
902,3
1725,3
1410,2
2664,2
1751,2
1675,2
2119,2
763,2
1156,2
1126,2
250,2
377,2
2185,2
2125,2
1243,2
1763,2
1775,2
980,2
776,2
2156,2
789,2
1613,2
1326,2
1679,2
2461,2
1688,2
1717,2
2532,2
2557,2
1687,2
1369,2
2496,2
1142,2
2492,2
1373,2
745,2
150,2
1400,2
1144,2
240,2
30,2
37,2
1736,2
2429,2
1199,2
2422,2
2259,2
1393,2
1778,2
2665,2
1248,2
2116,2
2552,2
1514,2
2115,2
1952,2
824,2
1516,2
1189,2
1272,2
1530,2
1826,2
1089,2
1074,2
1575,2
1577,2
1898,2
1896,2
69,2
1892,2
1888,2
480,2
1595,2
3156,2
1847,2
305,2
1814,2
1817,2
1176,2
1642,2
2666,2
1849,2
1442,2
2699,2
225,2
2060,2
1456,2
1171,2
2041,2
2040,2
2027,2
1265,2
1110,2
21,2
1984,2
1622,2
1493,2
1805,2
1060,2
1695,2
190,2
733,1
1201,1
4241,1
1177,1
2596,1
1145,1
541,1
1271,1
3670,1
2828,1
2112,1
1367,1
825,1
1919,1
1571,1
1069,1
1591,1
319,1
1617,1
1839,1
1837,1
903,1
1824,1
207,1
908,1
378,1
1797,1
1057,1
1649,1
1650,1
1665,1
997,1
1048,1
1754,1
1745,1
1680,1
1047,1
1728,1
1098,1
1515,1
2477,1
819,1
1375,1
2469,1
2467,1
35,1
747,1
1387,1
1388,1
2256,1
2228,1
2214,1
2213,1
2204,1
235,1
794,1
2124,1
269,1
1708,1
1440,1
1447,1
1116,1
1465,1
2000,1
1107,1
1473,1
1489,1
904,1
