state_abbr,findings_n,studies_n,interventions_n,weighted_finding_contribution,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,single_state_rows,multistate_rows,contribution_share_pct,state_name
TX,1812,168,43,992.7849521602428,9500058.45823824,0.13052440659592973,0.0815819511741104,71.29008202833707,5.291451520367183,745,1067,11.206512610455388,Texas
CA,1796,174,41,1005.6920644923551,3275752.5047889124,0.1597022766179101,0.0885835037035837,74.47141738449491,5.870588235294117,796,1000,11.352207523336213,California
NY,1735,126,27,1101.795888446179,10660909.100892808,0.1892556232628157,0.119963764469049,80.90249798549557,6.555621653777513,915,820,12.437023235649386,New York
PA,1066,80,24,528.3089378967286,762082.4831425035,0.14374901397841516,0.0899133650661533,71.48876404494382,5.4492462311557786,426,640,5.96352791394885,Pennsylvania
NC,955,66,15,531.9623109126017,15031539.196039328,0.18727891150074463,0.08910764845825435,73.92857142857143,6.200217627856365,416,539,6.004767026894702,North Carolina
IL,769,65,14,248.04244328023398,2160600.3733495185,0.16233215185678032,0.09288346783639889,66.66666666666666,6.480882352941176,140,629,2.7998921241701544,Illinois
FL,731,103,44,488.3007793885701,1385027.8410290615,0.16333561888575157,0.08886617843127595,71.83098591549296,5.342182890855457,420,311,5.511917591021223,Florida
MA,720,64,15,259.7345789223696,774282.7760912215,0.20310725373643657,0.159162011337886,79.13043478260869,7.716981132075472,163,557,2.931872433935767,Massachusetts
DC,651,34,6,119.85164241443312,1640028.30982138,0.14588566513777418,0.113331271971347,75.94501718213058,5.580065359477124,8,643,1.352880036284379,District of Columbia
OH,613,55,18,329.887978300769,724793.9366778571,0.23853796648557118,0.12597309004475798,74.04580152671755,7.363478260869565,249,364,3.7237609019163456,Ohio
GA,604,39,17,124.77356632385703,137942.1098560677,0.18498485741584436,0.14276467361492,76.43504531722054,7.041522491349481,35,569,1.4084384955847955,Georgia
TN,516,67,17,334.8899665902573,4576096.916643725,0.20886290391565912,0.13258797546283452,74.77876106194691,7.008080808080808,273,243,3.780223124396177,Tennessee
WA,505,48,23,262.13565146094214,13887542.220281754,0.19472702382874693,0.103174182922081,65.23929471032746,6.28246013667426,225,280,2.9589756345066274,Washington
MD,469,51,19,267.46350555129624,12791575.299417894,0.25345505942999785,0.130898181434303,78.64077669902912,7.595693779904306,205,264,3.0191162157274665,Maryland
MI,434,37,16,220.41416877695949,850260.4271540475,0.13688602768146393,0.07154361097454295,65.60693641618496,4.932249322493225,195,239,2.4880253840948128,Michigan
OR,432,42,12,219.81443933973003,805620.6778575107,0.23955802545817,0.150411896651839,78.94736842105263,8.309226932668329,181,251,2.481255664744667,Oregon
LA,401,34,8,137.33426257205326,1799925.0415119117,0.14795430047480607,0.1065367142067675,71.7687074829932,4.8575498575498575,91,310,1.5502230790388674,Louisiana
MN,372,32,10,98.35712581991652,2031992.850730471,0.1114530074484201,0.0830377044124583,66.66666666666666,3.792507204610951,45,327,1.110250884071752,Minnesota
KY,362,32,10,96.92347613626683,385400.17791162326,0.20686210062454427,0.15978838358824848,75.67567567567568,7.807926829268292,45,317,1.0940679098799733,Kentucky
CO,353,34,10,122.31323082602152,622123.8838279292,0.19683135641403962,0.15220334142609898,69.23076923076923,6.739130434782608,90,263,1.3806663373520884,Colorado
WI,336,33,5,124.43371312150381,1828642.8463653915,0.22337278294360352,0.101981271040487,72.58687258687259,7.453333333333333,95,241,1.4046022476747242,Wisconsin
OK,331,12,3,37.1128663003663,25497.26460622711,0.19121507830318557,0.164412532353257,74.4186046511628,8.109324758842444,13,318,0.41892839259923575,Oklahoma
NJ,319,34,10,127.77163630942701,178976.5049679003,0.1628690563906779,0.0873650656024454,75.95419847328245,5.682274247491639,103,216,1.4422805769209506,New Jersey
MO,295,25,15,59.72910384189454,91410.2113531817,0.146681710518284,0.0817870561497494,68.6192468619247,5.098540145985401,35,260,0.6742194812269392,Missouri
IN,286,32,8,156.11764446793518,2451528.2543227123,0.21310518544621138,0.152503879360181,77.63157894736842,7.243636363636363,96,190,1.7622490627377263,Indiana
SC,278,23,12,70.85363486642557,65859.8485465439,0.18530567009200022,0.109173958503355,74.48559670781893,6.365384615384615,53,225,0.7997926951848467,South Carolina
NM,254,20,6,107.07635658914728,109052.76996124031,0.11776444957391997,0.049982746470040904,60.0,3.926530612244898,50,204,1.2086731751794477,New Mexico
AR,254,9,2,30.561277224067922,56554.30408822443,0.12800892491521373,0.08226374874563194,84.375,8.123505976095618,5,249,0.3449743450058463,Arkansas
KS,233,14,8,37.62932029211099,156304.12130989166,0.16659770057094514,0.124256489042524,67.21311475409836,6.050761421319797,13,220,0.42475810240558737,Kansas
VA,228,37,11,118.77972960502031,58415.148334256184,0.10701563892615491,0.0842305605732716,74.21383647798741,4.191780821917808,74,154,1.3407803319225682,Virginia
MS,214,14,8,18.074175824175825,34616.48186813187,0.139178082165215,0.09461799235456185,68.82352941176471,4.793814432989691,4,210,0.20402049694294871,Mississippi
AZ,180,27,9,67.4841585094492,76732.76354127139,0.22093238238131505,0.154439857180797,78.1456953642384,7.311111111111111,41,139,0.7617581951625376,Arizona
ME,174,11,0,18.247602010392708,41718.49953999489,0.18381462625528197,0.143095269327508,76.55172413793103,6.875,1,173,0.20597812405906657,Maine
IA,159,7,2,20.32845449124519,30943.71763023798,0.1949425089895687,0.171838340789336,72.66187050359713,7.316546762589928,14,145,0.22946669478773213,Iowa
WV,154,12,1,14.013078200868899,30949.24953999489,0.1777720995494555,0.138975797715075,72.26277372262774,6.773722627737226,5,149,0.158179006669702,West Virginia
CT,124,18,7,37.084920634920636,29830.59841269841,0.1357527311757879,0.0876880441545842,72.72727272727273,5.07258064516129,18,106,0.41861294316424696,Connecticut
AL,107,22,6,35.04361849390919,68632.57531838317,0.17701393449357666,0.149954705586311,80.45977011494253,7.3076923076923075,25,82,0.3955708149216525,Alabama
UT,86,21,4,64.80694444444444,34140.15694444445,0.36816887313236396,0.2135763997360925,87.5,13.054794520547945,59,27,0.7315379212602375,Utah
NE,85,11,5,35.283301033591734,410264.16857235145,0.18088461887617954,0.166236549914787,89.65517241379311,6.305882352941176,22,63,0.39827634082392743,Nebraska
NV,73,8,5,16.855523255813953,12540.974127906977,0.06585944575420918,0.0254645297041798,59.64912280701754,2.6805555555555554,11,62,0.19026440067517725,Nevada
AK,60,5,3,47.911205073995774,20936.23890063425,0.17819250996390867,0.135115976070454,72.88135593220339,6.47457627118644,47,13,0.5408195628625778,Alaska
DE,44,5,1,10.808333333333334,1699.8166666666666,0.11732931983007815,0.103420125563763,85.71428571428571,3.522727272727273,3,41,0.1220039884110321,Delaware
ID,34,6,3,8.827871740662438,81583.78056730091,0.24421272414296605,0.206921212260518,80.64516129032258,9.03225806451613,7,27,0.0996486255859853,Idaho
HI,32,5,2,28.093023255813954,25703.511627906977,0.15587880801746584,0.41777599036942004,63.63636363636363,13.28125,28,4,0.3171128034294385,Hawaii
VT,31,3,0,26.5,16401.0,0.28468031417264344,0.128205624563173,89.47368421052632,10.526315789473685,24,7,0.2991308274071566,Vermont
RI,29,6,2,12.468023255813954,15421.303294573643,0.2324013344087739,0.250105472818388,78.57142857142857,8.607142857142858,7,22,0.14073849481672823,Rhode Island
NH,25,5,1,18.093023255813954,5533.511627906977,0.059557208844182426,0.0543185833793108,55.55555555555556,3.1904761904761907,17,8,0.2042332459173039,New Hampshire
SD,20,4,1,5.204134366925064,347054.28940568474,0.20689008599146366,0.254489426399177,95.0,8.05,0,20,0.05874403845721937,South Dakota
WY,14,2,1,12.5,638.75,0.6260066944227954,0.6698784500319954,92.85714285714286,22.642857142857142,12,2,0.14109944689016818,Wyoming
MT,12,2,1,0.4263565891472868,569.0532945736434,0.3348554341762566,0.2923303575283,100.0,13.0,0,12,0.004812694312532868,Montana
ND,1,1,0,0.1,2128.7000000000003,-0.251943611941047,-0.251943611941047,0.0,-10.0,0,1,0.0011287955751213457,North Dakota
