state_abbr,year,saipe_child_poverty_rate,saipe_median_income
MS,2007,0.294,36424
MS,2008,0.295,37818
MS,2009,0.307,36764
MS,2010,0.324,36992
MS,2011,0.324,36963
MS,2012,0.33899999999999997,37179
MS,2013,0.34,38191
MS,2014,0.307,39738
MS,2015,0.315,40630
MS,2016,0.302,41793
MS,2017,0.276,43595
MS,2018,0.282,44740
MS,2019,0.276,45928
MS,2020,0.26,47368
MS,2021,0.271,48871
MS,2022,0.264,52788
MS,2023,0.243,54386
MS,2024,0.25,59301
MT,1989,0.215,23242
MT,1993,0.198,26386
MT,1995,0.22,27889
MT,1996,0.21600000000000003,28714
MT,1997,0.213,29672
MT,1998,0.21899999999999997,31271
MT,1999,0.20199999999999999,32098
MT,2000,0.188,33281
MT,2001,0.19,33151
MT,2002,0.192,34105
MT,2003,0.19899999999999998,34449
MT,2004,0.185,35574
MT,2005,0.20199999999999999,38503
MT,2006,0.193,40299
MT,2007,0.18899999999999997,43000
MT,2008,0.192,43948
MT,2009,0.209,42222
MT,2010,0.21100000000000002,42303
MT,2011,0.209,44011
MT,2012,0.21100000000000002,45030
MT,2013,0.20800000000000002,46893
MT,2014,0.192,46608
MT,2015,0.188,49650
MT,2016,0.161,50265
MT,2017,0.159,53262
MT,2018,0.16399999999999998,55248
MT,2019,0.154,57248
MT,2020,0.146,57730
MT,2021,0.149,63357
MT,2022,0.138,67915
MT,2023,0.128,70939
MT,2024,0.11699999999999999,75520
NC,1989,0.17800000000000002,26247
NC,1993,0.19699999999999998,28792
NC,1995,0.196,31987
NC,1996,0.188,34487
NC,1997,0.18600000000000003,35320
NC,1998,0.19399999999999998,35982
NC,1999,0.17300000000000001,37563
NC,2000,0.165,38889
NC,2001,0.16399999999999998,39072
NC,2002,0.174,38194
NC,2003,0.191,39438
NC,2004,0.187,40863
NC,2005,0.20800000000000002,40781
NC,2006,0.201,42721
NC,2007,0.195,44772
NC,2008,0.19899999999999998,46574
NC,2009,0.225,43754
NC,2010,0.24600000000000002,43417
NC,2011,0.254,44028
NC,2012,0.258,45195
NC,2013,0.251,45946
NC,2014,0.24100000000000002,46596
NC,2015,0.23399999999999999,47884
NC,2016,0.217,50595
NC,2017,0.21,52797
NC,2018,0.20199999999999999,53922
NC,2019,0.193,57388
NC,2020,0.179,59616
NC,2021,0.182,61997
NC,2022,0.17300000000000001,67516
NC,2023,0.175,70838
NC,2024,0.166,74055
ND,1989,0.175,23910
ND,1993,0.162,27329
ND,1995,0.159,29321
ND,1996,0.15,30798
ND,1997,0.168,31764
ND,1998,0.17300000000000001,32430
ND,1999,0.156,34206
ND,2000,0.131,35636
ND,2001,0.145,36177
ND,2002,0.138,36223
ND,2003,0.134,38223
ND,2004,0.135,39233
ND,2005,0.145,40818
ND,2006,0.14,41852
ND,2007,0.14,43936
ND,2008,0.142,45996
ND,2009,0.141,47898
ND,2010,0.157,48878
ND,2011,0.14800000000000002,52135
ND,2012,0.13699999999999998,54579
ND,2013,0.124,56800
ND,2014,0.13699999999999998,60227
ND,2015,0.121,61674
ND,2016,0.11900000000000001,61898
ND,2017,0.114,62400
ND,2018,0.11,65250
ND,2019,0.109,67402
ND,2020,0.109,64289
ND,2021,0.115,67603
ND,2022,0.12300000000000001,73240
ND,2023,0.10099999999999999,77346
ND,2024,0.11699999999999999,80132
NE,1989,0.156,25258
NE,1993,0.139,29038
NE,1995,0.126,32176
NE,1996,0.127,33562
NE,1997,0.126,35337
NE,1998,0.138,37233
NE,1999,0.125,38668
NE,2000,0.11900000000000001,40429
NE,2001,0.126,41091
NE,2002,0.12300000000000001,41130
NE,2003,0.129,41984
NE,2004,0.128,42166
NE,2005,0.147,43675
NE,2006,0.14400000000000002,45369
NE,2007,0.147,47072
NE,2008,0.13699999999999998,49731
NE,2009,0.153,47470
NE,2010,0.17300000000000001,48415
NE,2011,0.17600000000000002,50281
NE,2012,0.174,50766
NE,2013,0.171,51502
NE,2014,0.16,52803
NE,2015,0.159,55073
NE,2016,0.139,56979
NE,2017,0.13699999999999998,59913
NE,2018,0.129,59724
NE,2019,0.115,63290
NE,2020,0.10099999999999999,64735
NE,2021,0.121,66949
NE,2022,0.135,69828
NE,2023,0.111,74727
NE,2024,0.11599999999999999,76578
NH,1989,0.09300000000000001,32972
NH,1993,0.115,36443
NH,1995,0.075,38017
NH,1996,0.078,40153
NH,1997,0.1,42023
NH,1998,0.106,45401
NH,1999,0.08199999999999999,47284
NH,2000,0.069,49830
NH,2001,0.07200000000000001,50898
NH,2002,0.066,51550
NH,2003,0.078,52409
NH,2004,0.08800000000000001,53377
NH,2005,0.095,56557
NH,2006,0.096,59265
NH,2007,0.092,62048
NH,2008,0.094,63235
NH,2009,0.11,60734
NH,2010,0.10800000000000001,60917
NH,2011,0.122,62436
NH,2012,0.136,63157
NH,2013,0.109,64064
NH,2014,0.126,66469
NH,2015,0.11,70003
NH,2016,0.085,70986
NH,2017,0.1,73638
NH,2018,0.10099999999999999,75322
NH,2019,0.081,78571
NH,2020,0.084,81415
NH,2021,0.09300000000000001,88268
NH,2022,0.077,90750
NH,2023,0.08199999999999999,97031
NH,2024,0.07,100364
NJ,1989,0.128,38123
NJ,1993,0.157,41089
NJ,1995,0.126,44345
NJ,1996,0.138,46872
NJ,1997,0.14800000000000002,47903
NJ,1998,0.132,49615
NJ,1999,0.109,51426
NJ,2000,0.105,52990
NJ,2001,0.10099999999999999,54506
NJ,2002,0.10400000000000001,54932
NJ,2003,0.11800000000000001,56356
NJ,2004,0.102,57338
NJ,2005,0.11699999999999999,61694
NJ,2006,0.11699999999999999,64549
NJ,2007,0.114,67142
NJ,2008,0.12300000000000001,70347
NJ,2009,0.133,68444
NJ,2010,0.14300000000000002,67719
NJ,2011,0.146,67574
NJ,2012,0.154,69705
NJ,2013,0.165,70224
NJ,2014,0.158,71968
NJ,2015,0.155,72337
NJ,2016,0.145,76212
NJ,2017,0.138,80106
NJ,2018,0.135,81777
NJ,2019,0.122,85786
NJ,2020,0.126,87095
NJ,2021,0.139,89227
NJ,2022,0.127,96341
NJ,2023,0.128,99716
NJ,2024,0.11800000000000001,104202
NM,1989,0.266,23570
NM,1993,0.306,26802
NM,1995,0.32,27929
NM,1996,0.298,27014
NM,1997,0.275,30836
NM,1998,0.271,31445
NM,1999,0.264,32671
NM,2000,0.255,34487
NM,2001,0.259,33733
NM,2002,0.252,34827
NM,2003,0.258,35091
NM,2004,0.23800000000000002,37838
NM,2005,0.26,37603
NM,2006,0.256,40610
NM,2007,0.252,41509
NM,2008,0.24100000000000002,43719
NM,2009,0.258,42830
NM,2010,0.285,42186
NM,2011,0.294,42097
NM,2012,0.289,42828
NM,2013,0.301,44026
NM,2014,0.28,44905
NM,2015,0.272,45524
NM,2016,0.278,46844
NM,2017,0.259,47086
NM,2018,0.253,47405
NM,2019,0.235,52021
NM,2020,0.21600000000000003,52285
NM,2021,0.231,54304
NM,2022,0.22899999999999998,59842
NM,2023,0.226,62286
NM,2024,0.205,67838
NV,1989,0.155,31797
NV,1993,0.16699999999999998,33024
NV,1995,0.145,36300
NV,1996,0.13699999999999998,38213
NV,1997,0.154,39280
NV,1998,0.15,39867
NV,1999,0.153,41939
NV,2000,0.136,44698
NV,2001,0.125,44325
NV,2002,0.141,44560
NV,2003,0.153,45249
NV,2004,0.153,47231
NV,2005,0.154,49288
NV,2006,0.14300000000000002,52800
NV,2007,0.149,54996
NV,2008,0.15,56432
NV,2009,0.17600000000000002,53310
NV,2010,0.213,50987
NV,2011,0.222,49099
NV,2012,0.23399999999999999,49909
NV,2013,0.22699999999999998,51250
NV,2014,0.222,51487
NV,2015,0.21600000000000003,52544
NV,2016,0.19899999999999998,55201
NV,2017,0.192,57932
NV,2018,0.184,58740
NV,2019,0.17600000000000002,63268
NV,2020,0.16699999999999998,64608
NV,2021,0.188,66194
NV,2022,0.165,72348
NV,2023,0.16399999999999998,76332
NV,2024,0.155,81129
NY,1989,0.19699999999999998,31229
NY,1993,0.267,32654
NY,1995,0.254,33805
NY,1996,0.252,35696
NY,1997,0.247,36369
NY,1998,0.233,38290
NY,1999,0.21,41047
NY,2000,0.191,41763
NY,2001,0.195,43149
NY,2002,0.20199999999999999,42765
NY,2003,0.20199999999999999,44139
NY,2004,0.20800000000000002,45343
NY,2005,0.19699999999999998,49365
NY,2006,0.201,51340
NY,2007,0.196,53448
NY,2008,0.193,55980
NY,2009,0.20199999999999999,54554
NY,2010,0.215,54047
NY,2011,0.228,55147
NY,2012,0.23,56357
NY,2013,0.22899999999999998,57255
NY,2014,0.22899999999999998,58771
NY,2015,0.223,60805
NY,2016,0.20800000000000002,62700
NY,2017,0.19899999999999998,64783
NY,2018,0.188,67648
NY,2019,0.182,72038
NY,2020,0.16699999999999998,73354
NY,2021,0.188,74230
NY,2022,0.18600000000000003,79463
NY,2023,0.18600000000000003,82052
NY,2024,0.179,85768
OH,1989,0.183,28626
OH,1993,0.215,30896
OH,1995,0.18,33958
OH,1996,0.17,34198
OH,1997,0.16,36029
OH,1998,0.16399999999999998,38726
OH,1999,0.16,39707
OH,2000,0.141,42054
OH,2001,0.14800000000000002,41780
OH,2002,0.135,42246
OH,2003,0.154,43119
OH,2004,0.168,43371
OH,2005,0.185,43547
OH,2006,0.185,44609
OH,2007,0.184,46645
OH,2008,0.185,48011
OH,2009,0.21600000000000003,45467
OH,2010,0.231,45151
OH,2011,0.239,45803
OH,2012,0.23600000000000002,46873
OH,2013,0.22699999999999998,48138
OH,2014,0.22699999999999998,49349
OH,2015,0.212,51086
OH,2016,0.204,52357
OH,2017,0.198,54077
OH,2018,0.192,56155
OH,2019,0.18100000000000002,58704
OH,2020,0.166,60360
OH,2021,0.182,62286
OH,2022,0.177,65786
OH,2023,0.175,67873
OH,2024,0.16399999999999998,72259
OK,1989,0.23399999999999999,23162
OK,1993,0.254,25791
OK,1995,0.26,26495
OK,1996,0.251,27648
OK,1997,0.237,30002
OK,1998,0.23199999999999998,32373
OK,1999,0.19699999999999998,33005
OK,2000,0.2,33417
OK,2001,0.20600000000000002,34912
OK,2002,0.203,35313
OK,2003,0.21100000000000002,35634
OK,2004,0.20199999999999999,37109
OK,2005,0.23,37020
OK,2006,0.235,38753
OK,2007,0.222,41551
OK,2008,0.22,42836
OK,2009,0.221,41716
OK,2010,0.244,42076
OK,2011,0.239,43232
OK,2012,0.24100000000000002,44336
OK,2013,0.23800000000000002,45724
OK,2014,0.22399999999999998,47524
OK,2015,0.22,48595
OK,2016,0.225,49204
OK,2017,0.213,50051
OK,2018,0.214,51914
OK,2019,0.19699999999999998,54447
OK,2020,0.18600000000000003,54512
OK,2021,0.205,55829
OK,2022,0.19699999999999998,59632
OK,2023,0.205,62120
OK,2024,0.187,66124
OR,1989,0.192,27795
OR,1993,0.183,30608
OR,1995,0.16399999999999998,34533
OR,1996,0.17600000000000002,35144
OR,1997,0.163,37284
OR,1998,0.16899999999999998,38773
OR,1999,0.157,40033
OR,2000,0.151,41662
OR,2001,0.151,41752
OR,2002,0.151,41796
OR,2003,0.174,42593
OR,2004,0.17300000000000001,42568
OR,2005,0.188,43065
OR,2006,0.17600000000000002,46228
OR,2007,0.172,48735
OR,2008,0.17800000000000002,50165
OR,2009,0.19399999999999998,48325
OR,2010,0.217,46536
OR,2011,0.23399999999999999,46876
OR,2012,0.22699999999999998,49090
OR,2013,0.21600000000000003,50228
OR,2014,0.213,51088
OR,2015,0.198,54074
OR,2016,0.172,57379
OR,2017,0.165,60123
OR,2018,0.157,63168
OR,2019,0.136,66955
OR,2020,0.122,67832
OR,2021,0.138,71441
OR,2022,0.136,75638
OR,2023,0.136,80061
OR,2024,0.13,84897
PA,1989,0.16399999999999998,28825
PA,1993,0.19699999999999998,31044
PA,1995,0.17300000000000001,34437
PA,1996,0.165,35109
PA,1997,0.166,37267
PA,1998,0.165,39116
PA,1999,0.14,38918
PA,2000,0.131,41419
PA,2001,0.138,42288
PA,2002,0.14,42043
PA,2003,0.149,42952
PA,2004,0.16,43714
PA,2005,0.166,44545
PA,2006,0.16699999999999998,46256
PA,2007,0.162,48562
PA,2008,0.166,50702
PA,2009,0.171,49501
PA,2010,0.18899999999999997,49245
PA,2011,0.19399999999999998,50221
PA,2012,0.196,51225
PA,2013,0.192,52005
PA,2014,0.192,53224
PA,2015,0.191,55683
PA,2016,0.184,56897
PA,2017,0.16899999999999998,59165
PA,2018,0.16699999999999998,60891
PA,2019,0.165,63455
PA,2020,0.14300000000000002,64898
PA,2021,0.163,68931
PA,2022,0.152,71789
PA,2023,0.155,73826
PA,2024,0.153,77532
RI,1989,0.153,30983
RI,1993,0.20600000000000002,33201
RI,1995,0.17,34611
RI,1996,0.175,36402
RI,1997,0.17300000000000001,36699
RI,1998,0.163,39907
RI,1999,0.162,40965
RI,2000,0.15,42305
RI,2001,0.135,43884
RI,2002,0.161,43115
RI,2003,0.166,45006
RI,2004,0.174,47037
RI,2005,0.17600000000000002,50415
RI,2006,0.16,51324
RI,2007,0.16899999999999998,52755
RI,2008,0.165,54562
RI,2009,0.179,53243
RI,2010,0.19899999999999998,52053
RI,2011,0.215,53152
RI,2012,0.20800000000000002,54002
RI,2013,0.22,55015
RI,2014,0.212,54797
RI,2015,0.20600000000000002,57265
RI,2016,0.187,60046
RI,2017,0.182,62923
RI,2018,0.18,63787
RI,2019,0.165,70383
RI,2020,0.145,73919
RI,2021,0.17,73324
RI,2022,0.14,80873
RI,2023,0.151,83518
RI,2024,0.155,83250
SC,1989,0.212,24814
SC,1993,0.237,27962
SC,1995,0.245,30060
SC,1996,0.231,32728
SC,1997,0.23,33325
SC,1998,0.215,33465
SC,1999,0.192,35515
SC,2000,0.182,37283
SC,2001,0.2,36953
SC,2002,0.19399999999999998,37442
SC,2003,0.198,38003
SC,2004,0.212,39454
SC,2005,0.226,39477
SC,2006,0.222,41204
SC,2007,0.21100000000000002,43508
SC,2008,0.217,44695
SC,2009,0.244,42580
SC,2010,0.26,42117
SC,2011,0.275,42477
SC,2012,0.268,43290
SC,2013,0.273,44310
SC,2014,0.264,45337
SC,2015,0.244,47308
SC,2016,0.23,49587
SC,2017,0.223,50675
SC,2018,0.221,52449
SC,2019,0.19899999999999998,56360
SC,2020,0.187,57216
SC,2021,0.19699999999999998,59447
SC,2022,0.192,64227
SC,2023,0.188,67988
SC,2024,0.18100000000000002,72507
SD,1989,0.2,22186
SD,1993,0.192,26819
SD,1995,0.20199999999999999,29426
SD,1996,0.183,29810
SD,1997,0.19,31354
SD,1998,0.17600000000000002,33267
SD,1999,0.154,35007
SD,2000,0.151,36146
SD,2001,0.146,37096
SD,2002,0.16,36966
SD,2003,0.165,38008
SD,2004,0.179,39265
SD,2005,0.183,40096
SD,2006,0.177,42432
SD,2007,0.175,43507
SD,2008,0.17600000000000002,46244
SD,2009,0.18899999999999997,45048
SD,2010,0.19399999999999998,45861
SD,2011,0.192,48188
SD,2012,0.185,48439
SD,2013,0.18600000000000003,49200
SD,2014,0.184,51059
SD,2015,0.177,53263
SD,2016,0.166,54926
SD,2017,0.163,56871
SD,2018,0.161,57041
SD,2019,0.149,60414
SD,2020,0.139,61149
SD,2021,0.14400000000000002,66843
SD,2022,0.151,70597
SD,2023,0.135,72794
SD,2024,0.11900000000000001,77494
TN,1989,0.21899999999999997,23898
TN,1993,0.26,26990
TN,1995,0.221,30016
TN,1996,0.217,31097
TN,1997,0.18899999999999997,32047
TN,1998,0.185,34188
TN,1999,0.18100000000000002,35624
TN,2000,0.17800000000000002,35760
TN,2001,0.187,36629
TN,2002,0.18600000000000003,37129
TN,2003,0.192,37925
TN,2004,0.201,38945
TN,2005,0.218,38947
TN,2006,0.226,40368
TN,2007,0.225,42389
TN,2008,0.218,43610
TN,2009,0.24,41715
TN,2010,0.259,41461
TN,2011,0.265,41691
TN,2012,0.261,42743
TN,2013,0.265,44268
TN,2014,0.259,44357
TN,2015,0.24100000000000002,47243
TN,2016,0.226,48506
TN,2017,0.21100000000000002,51319
TN,2018,0.218,52366
TN,2019,0.19399999999999998,56047
TN,2020,0.184,56962
TN,2021,0.184,59698
TN,2022,0.17800000000000002,65231
TN,2023,0.18899999999999997,67651
TN,2024,0.184,72007
TX,1989,0.258,26134
TX,1993,0.28600000000000003,28803
TX,1995,0.26899999999999996,31488
TX,1996,0.258,32773
TX,1997,0.23600000000000002,34478
TX,1998,0.22399999999999998,35449
TX,1999,0.218,38092
TX,2000,0.207,39090
TX,2001,0.212,40152
TX,2002,0.213,40063
TX,2003,0.228,39967
TX,2004,0.22699999999999998,41645
TX,2005,0.247,42165
TX,2006,0.23800000000000002,44943
TX,2007,0.231,47563
TX,2008,0.225,50049
TX,2009,0.243,48286
TX,2010,0.257,48622
TX,2011,0.266,49390
TX,2012,0.258,50747
TX,2013,0.25,51714
TX,2014,0.245,53067
TX,2015,0.22899999999999998,55668
TX,2016,0.22399999999999998,56583
TX,2017,0.21,59195
TX,2018,0.21100000000000002,60632
TX,2019,0.192,64044
TX,2020,0.188,66048
TX,2021,0.195,66959
TX,2022,0.192,72279
TX,2023,0.184,75778
TX,2024,0.179,79723
UT,1989,0.162,29370
UT,1993,0.136,32594
UT,1995,0.105,35160
UT,1996,0.113,36360
UT,1997,0.125,38884
UT,1998,0.127,41380
UT,1999,0.1,43778
UT,2000,0.111,45934
UT,2001,0.113,45914
UT,2002,0.109,46165
UT,2003,0.125,46709
UT,2004,0.124,47224
UT,2005,0.11699999999999999,48155
UT,2006,0.12300000000000001,51373
UT,2007,0.113,55220
UT,2008,0.109,56820
UT,2009,0.129,55183
UT,2010,0.159,54740
UT,2011,0.162,55802
UT,2012,0.155,57067
UT,2013,0.146,59715
UT,2014,0.134,60943
UT,2015,0.128,62961
UT,2016,0.11,65931
UT,2017,0.106,68395
UT,2018,0.09699999999999999,71381
UT,2019,0.096,75705
UT,2020,0.075,77785
UT,2021,0.085,79449
UT,2022,0.085,88531
UT,2023,0.092,93030
UT,2024,0.086,96398
VA,1989,0.158,32555
VA,1993,0.17800000000000002,34818
VA,1995,0.159,36367
VA,1996,0.166,38510
VA,1997,0.17,40209
VA,1998,0.142,42622
VA,1999,0.124,44848
VA,2000,0.122,46789
VA,2001,0.11199999999999999,48130
VA,2002,0.125,48224
VA,2003,0.136,50028
VA,2004,0.122,51103
VA,2005,0.133,54207
VA,2006,0.12300000000000001,56297
VA,2007,0.129,59575
VA,2008,0.136,61210
VA,2009,0.14,59372
VA,2010,0.146,60665
VA,2011,0.156,61877
VA,2012,0.155,61782
VA,2013,0.157,62745
VA,2014,0.159,64923
VA,2015,0.15,66263
VA,2016,0.14300000000000002,68127
VA,2017,0.14,71518
VA,2018,0.138,72600
VA,2019,0.133,76471
VA,2020,0.122,79154
VA,2021,0.133,80926
VA,2022,0.128,85838
VA,2023,0.127,89864
VA,2024,0.11800000000000001,92116
VT,1989,0.147,27937
VT,1993,0.17,30766
VT,1995,0.14400000000000002,32350
VT,1996,0.149,33352
VT,1997,0.127,35210
VT,1998,0.126,37947
VT,1999,0.12300000000000001,39571
VT,2000,0.11599999999999999,40537
VT,2001,0.113,41342
VT,2002,0.115,41962
VT,2003,0.11900000000000001,42649
VT,2004,0.106,44548
VT,2005,0.128,45695
VT,2006,0.126,47778
VT,2007,0.124,49698
VT,2008,0.128,52111
VT,2009,0.14,51219
VT,2010,0.159,49393
VT,2011,0.158,52033
VT,2012,0.157,52700
VT,2013,0.152,52511
VT,2014,0.154,54153
VT,2015,0.13699999999999998,56883
VT,2016,0.135,57661
VT,2017,0.128,58271
VT,2018,0.122,60917
VT,2019,0.10800000000000001,63293
VT,2020,0.1,67717
VT,2021,0.11199999999999999,72415
VT,2022,0.111,74555
VT,2023,0.102,80626
VT,2024,0.09699999999999999,82836
WA,1989,0.16699999999999998,30634
WA,1993,0.17300000000000001,34074
WA,1995,0.151,37015
WA,1996,0.16699999999999998,37847
WA,1997,0.152,41715
WA,1998,0.13699999999999998,44307
WA,1999,0.131,44742
WA,2000,0.132,44846
WA,2001,0.13,46284
WA,2002,0.136,46399
WA,2003,0.153,48185
WA,2004,0.158,48438
WA,2005,0.155,49372
WA,2006,0.155,52571
WA,2007,0.15,55628
WA,2008,0.14300000000000002,58081
WA,2009,0.162,56479
WA,2010,0.182,55584
WA,2011,0.185,56811
WA,2012,0.185,57574
WA,2013,0.18600000000000003,58431
WA,2014,0.175,61358
WA,2015,0.157,64080
WA,2016,0.139,67064
WA,2017,0.142,70942
WA,2018,0.126,74023
WA,2019,0.12,78674
WA,2020,0.11,80319
WA,2021,0.12,84155
WA,2022,0.115,91255
WA,2023,0.121,94553
WA,2024,0.115,99309
WI,1989,0.147,29101
WI,1993,0.159,32200
WI,1995,0.139,37572
WI,1996,0.122,38598
WI,1997,0.14300000000000002,39800
WI,1998,0.136,42169
WI,1999,0.109,43301
WI,2000,0.11,44503
WI,2001,0.111,45435
WI,2002,0.109,45377
WI,2003,0.124,46538
WI,2004,0.149,46142
WI,2005,0.14,47141
WI,2006,0.147,48784
WI,2007,0.145,50567
WI,2008,0.136,52103
WI,2009,0.16699999999999998,49994
WI,2010,0.19,48974
WI,2011,0.184,50401
WI,2012,0.183,51063
WI,2013,0.184,51474
WI,2014,0.184,52632
WI,2015,0.165,55623
WI,2016,0.157,56808
WI,2017,0.146,59300
WI,2018,0.141,60779
WI,2019,0.135,64177
WI,2020,0.124,64901
WI,2021,0.136,67150
WI,2022,0.13,71050
WI,2023,0.128,74671
WI,2024,0.122,77557
WV,1989,0.261,22542
WV,1993,0.326,23250
WV,1995,0.3,25354
WV,1996,0.298,25760
WV,1997,0.247,27432
WV,1998,0.242,28460
WV,1999,0.23800000000000002,30108
WV,2000,0.21899999999999997,30187
WV,2001,0.23199999999999998,31156
WV,2002,0.243,30695
WV,2003,0.243,32967
WV,2004,0.226,33993
WV,2005,0.255,33466
WV,2006,0.249,35028
WV,2007,0.23399999999999999,37057
WV,2008,0.239,37528
WV,2009,0.24100000000000002,37423
WV,2010,0.257,38241
WV,2011,0.261,38587
WV,2012,0.251,40188
WV,2013,0.263,41195
WV,2014,0.25,41030
WV,2015,0.247,41969
WV,2016,0.239,43175
WV,2017,0.244,43238
WV,2018,0.23199999999999998,44038
WV,2019,0.20800000000000002,48659
WV,2020,0.203,49202
WV,2021,0.214,51122
WV,2022,0.22699999999999998,54097
WV,2023,0.196,55875
WV,2024,0.201,60662
WY,1989,0.157,29724
WY,1993,0.149,28954
WY,1995,0.157,30673
WY,1996,0.14300000000000002,31173
WY,1997,0.153,33197
WY,1998,0.154,35868
WY,1999,0.151,37480
WY,2000,0.139,38934
WY,2001,0.134,39988
WY,2002,0.135,39772
WY,2003,0.146,41554
WY,2004,0.13699999999999998,43785
WY,2005,0.136,45501
WY,2006,0.136,47819
WY,2007,0.128,52433
WY,2008,0.11900000000000001,54735
WY,2009,0.132,54400
WY,2010,0.149,53757
WY,2011,0.155,56044
WY,2012,0.154,55104
WY,2013,0.135,58424
WY,2014,0.13699999999999998,58291
WY,2015,0.13,61213
WY,2016,0.11599999999999999,61686
WY,2017,0.129,61279
WY,2018,0.131,62259
WY,2019,0.11699999999999999,66152
WY,2020,0.10300000000000001,67284
WY,2021,0.121,66508
WY,2022,0.132,71275
WY,2023,0.12,73558
WY,2024,0.102,76975
